AMP-3188	FAIL	Nguyen Thi Thuy Phuong: 1x summary + 1x desc after dev touch
AMP-3189	PASS	no post-assignment scope edit
AMP-3193	PASS	no post-assignment scope edit
AMP-3197	PASS	no post-assignment scope edit
AMP-3198	PASS	no post-assignment scope edit
AMP-3200	FAIL	Hien Nguyen: 1x summary + 1x desc after dev touch
AMP-3201	PASS	no post-assignment scope edit
AMP-3202	PASS	no post-assignment scope edit
AMP-3208	PASS	no post-assignment scope edit
AMP-3215	PASS	no post-assignment scope edit
AMP-3216	FAIL	Hien Nguyen: 0x summary + 5x desc after dev touch
AMP-3218	FAIL	Nguyen Thi Thuy Phuong: 0x summary + 2x desc after dev touch
AMP-3220	PASS	no post-assignment scope edit
AMP-3225	PASS	no post-assignment scope edit
AMP-3242	PASS	Nguyen Thi Thuy Phuong: 0x summary + 1x desc after dev touch
AMP-3256	PASS	no post-assignment scope edit
AMP-3260	PASS	no post-assignment scope edit
AMP-3264	PASS	no post-assignment scope edit
AMP-3265	PASS	no post-assignment scope edit
AMP-3266	PASS	no post-assignment scope edit
AMP-3272	PASS	no post-assignment scope edit
AMP-3273	PASS	no post-assignment scope edit
AMP-3274	PASS	no post-assignment scope edit
AMP-3275	PASS	no post-assignment scope edit
AMP-3276	PASS	no post-assignment scope edit
AMP-3278	PASS	no post-assignment scope edit
AMP-3279	PASS	no post-assignment scope edit
AMP-3280	PASS	no post-assignment scope edit
AMP-3281	PASS	no post-assignment scope edit
AMP-3287	PASS	no post-assignment scope edit
AMP-3301	PASS	no post-assignment scope edit
AMP-3329	PASS	no post-assignment scope edit
